Transaction ID,Date,Customer Name,Unique Customer Name,Product Name,Category,Region,Sales Value,Discount,Profit Margin,Payment Method,Year,Month,Week,First Sale,Cohort Group,Repeated Customer Fixed,Repeated Customer Yes/No,Count Yes Reap,Count No Reap,SN. Total Unique Customer,SN. Total Repeating Customer,SN. Total Non Repeating Customer,Retention Rate
T0023,1/23/2024,Customer_49,Customer_49,Product C,Groceries,West,420.09,19.05,15.58,Bank Transfer,2024,1,4,23/01/2024,24-Jan,Customer_49,Yes,1,0,,,,
T0024,1/24/2024,Customer_59,Customer_59,Product C,Cosmetics,South,435.9,22.18,16.4,Bank Transfer,2024,1,4,24/01/2024,24-Jan,Customer_59,No,0,1,,,,
T0025,1/25/2024,Customer_170,Customer_170,Product D,Cosmetics,West,462.49,2.53,61.65,Credit Card,2024,1,4,25/01/2024,24-Jan,Customer_170,Yes,1,0,,,,
T0026,1/26/2024,Customer_188,Customer_188,Product B,Cosmetics,East,243.94,13.72,60.94,Credit Card,2024,1,4,26/01/2024,24-Jan,Customer_188,Yes,1,0,,,,
T0027,1/27/2024,Customer_271,Repeated,Product B,Household,West,193.49,2.65,89.02,Bank Transfer,2024,1,4,2/1/2024,24-Jan,Repeated,Yes,1,0,,,,
T0028,1/28/2024,Customer_190,Customer_190,Product C,Electronics,West,311.99,44.08,60.21,Mobile Payment,2024,1,5,28/01/2024,24-Jan,Customer_190,Yes,1,0,,,,
T0029,1/29/2024,Customer_175,Customer_175,Product B,Electronics,West,217.03,12.93,96.38,Mobile Payment,2024,1,5,29/01/2024,24-Jan,Customer_175,No,0,1,,,,
T0030,1/30/2024,Customer_51,Customer_51,Product B,Cosmetics,West,320.48,28.31,14.38,Credit Card,2024,1,5,30/01/2024,24-Jan,Customer_51,Yes,1,0,,,,
T0031,1/31/2024,Customer_55,Customer_55,Product D,Electronics,South,367.51,2.91,18.82,Bank Transfer,2024,1,5,31/01/2024,24-Jan,Customer_55,Yes,1,0,,,,
T0032,2/1/2024,Customer_244,Customer_244,Product A,Electronics,South,359.78,33.68,13.97,Mobile Payment,2024,2,5,1/2/2024,24-Feb,Customer_244,Yes,1,0,,,,
T0033,2/2/2024,Customer_131,Repeated,Product C,Cosmetics,North,218.55,16.83,26.67,Mobile Payment,2024,2,5,13/01/2024,24-Feb,Repeated,Yes,1,0,,,,
T0034,2/3/2024,Customer_135,Customer_135,Product C,Cosmetics,East,125.09,45,58.71,Mobile Payment,2024,2,5,3/2/2024,24-Feb,Customer_135,Yes,1,0,,,,
T0035,2/4/2024,Customer_21,Repeated,Product D,Groceries,West,243.74,44.52,68.1,Credit Card,2024,2,6,6/1/2024,24-Feb,Repeated,Yes,1,0,,,,
T0036,2/5/2024,Customer_167,Customer_167,Product D,Electronics,North,114.17,16.94,14.1,Bank Transfer,2024,2,6,5/2/2024,24-Feb,Customer_167,Yes,1,0,,,,
T0037,2/6/2024,Customer_274,Customer_274,Product B,Household,North,450.54,45.15,95.14,Cash,2024,2,6,6/2/2024,24-Feb,Customer_274,Yes,1,0,,,,
T0038,2/7/2024,Customer_89,Customer_89,Product C,Cosmetics,North,205.64,49.81,85.79,Bank Transfer,2024,2,6,7/2/2024,24-Feb,Customer_89,Yes,1,0,,,,
T0039,2/8/2024,Customer_14,Customer_14,Product A,Groceries,South,119.51,41.45,36.7,Bank Transfer,2024,2,6,8/2/2024,24-Feb,Customer_14,Yes,1,0,,,,
T0040,2/9/2024,Customer_242,Customer_242,Product D,Household,West,61.45,42.4,16.95,Credit Card,2024,2,6,9/2/2024,24-Feb,Customer_242,Yes,1,0,,,,
T0041,2/10/2024,Customer_265,Customer_265,Product A,Electronics,West,340.62,13.2,25.29,Mobile Payment,2024,2,6,10/2/2024,24-Feb,Customer_265,Yes,1,0,,,,
T0042,2/11/2024,Customer_53,Customer_53,Product A,Groceries,East,336.61,29.26,21.42,Mobile Payment,2024,2,7,11/2/2024,24-Feb,Customer_53,Yes,1,0,,,,
T0043,2/12/2024,Customer_92,Customer_92,Product C,Cosmetics,West,203.27,4.3,21.1,Credit Card,2024,2,7,12/2/2024,24-Feb,Customer_92,Yes,1,0,,,,
T0044,2/13/2024,Customer_264,Customer_264,Product C,Household,West,82.27,5.65,56.67,Credit Card,2024,2,7,13/02/2024,24-Feb,Customer_264,Yes,1,0,,,,
T0045,2/14/2024,Customer_35,Customer_35,Product D,Cosmetics,North,234.33,49.95,32.13,Credit Card,2024,2,7,14/02/2024,24-Feb,Customer_35,Yes,1,0,,,,
T0046,2/15/2024,Customer_206,Customer_206,Product C,Electronics,East,190.05,17.01,42.23,Credit Card,2024,2,7,15/02/2024,24-Feb,Customer_206,Yes,1,0,,,,
T0047,2/16/2024,Customer_81,Customer_81,Product C,Household,West,354.7,37.66,99.06,Credit Card,2024,2,7,16/02/2024,24-Feb,Customer_81,Yes,1,0,,,,
T0048,2/17/2024,Customer_50,Customer_50,Product C,Electronics,South,322.6,40.53,71.59,Cash,2024,2,7,17/02/2024,24-Feb,Customer_50,No,0,1,,,,
T0049,2/18/2024,Customer_2,Customer_2,Product A,Electronics,West,214.07,43.04,95.41,Bank Transfer,2024,2,8,18/02/2024,24-Feb,Customer_2,Yes,1,0,,,,
T0050,2/19/2024,Customer_54,Customer_54,Product D,Groceries,North,148.05,49.88,22.83,Bank Transfer,2024,2,8,19/02/2024,24-Feb,Customer_54,Yes,1,0,,,,
T0051,2/20/2024,Customer_106,Customer_106,Product B,Cosmetics,South,494.62,12.83,44.39,Bank Transfer,2024,2,8,20/02/2024,24-Feb,Customer_106,Yes,1,0,,,,
T0052,2/21/2024,Customer_260,Customer_260,Product A,Household,North,254.3,2.98,59.93,Mobile Payment,2024,2,8,21/02/2024,24-Feb,Customer_260,Yes,1,0,,,,
T0053,2/22/2024,Customer_191,Customer_191,Product C,Electronics,West,359.72,21.15,16.91,Cash,2024,2,8,22/02/2024,24-Feb,Customer_191,Yes,1,0,,,,
T0054,2/23/2024,Customer_218,Customer_218,Product A,Electronics,South,113.25,7.37,10.38,Bank Transfer,2024,2,8,23/02/2024,24-Feb,Customer_218,Yes,1,0,,,,
T0055,2/24/2024,Customer_44,Customer_44,Product C,Household,East,268.52,2.1,70.34,Mobile Payment,2024,2,8,24/02/2024,24-Feb,Customer_44,Yes,1,0,,,,
T0056,2/25/2024,Customer_162,Customer_162,Product C,Electronics,East,62.39,18.66,67.76,Cash,2024,2,9,25/02/2024,24-Feb,Customer_162,Yes,1,0,,,,
T0057,2/26/2024,Customer_202,Customer_202,Product A,Groceries,South,277.45,39.4,46.97,Cash,2024,2,9,26/02/2024,24-Feb,Customer_202,Yes,1,0,,,,
T0058,2/27/2024,Customer_270,Customer_270,Product D,Groceries,South,483.81,28.74,54.07,Mobile Payment,2024,2,9,27/02/2024,24-Feb,Customer_270,Yes,1,0,,,,
T0059,2/28/2024,Customer_271,Repeated,Product C,Groceries,North,222.89,16.33,47.39,Cash,2024,2,9,2/1/2024,24-Feb,Repeated,Yes,1,0,,,,
T0060,2/29/2024,Customer_215,Repeated,Product D,Groceries,South,67.55,33.06,12.16,Mobile Payment,2024,2,9,9/1/2024,24-Feb,Repeated,Yes,1,0,,,,
T0061,3/1/2024,Customer_252,Customer_252,Product B,Electronics,North,63.93,12.37,40.18,Bank Transfer,2024,3,9,1/3/2024,24-Mar,Customer_252,Yes,1,0,,,,
T0062,3/2/2024,Customer_190,Repeated,Product C,Household,West,224.59,1.7,25.94,Mobile Payment,2024,3,9,28/01/2024,24-Mar,Repeated,Yes,1,0,,,,
T0063,3/3/2024,Customer_296,Customer_296,Product D,Household,North,122.01,38.45,18.86,Cash,2024,3,10,3/3/2024,24-Mar,Customer_296,Yes,1,0,,,,
T0064,3/4/2024,Customer_213,Customer_213,Product D,Household,South,60.51,31.56,96.1,Bank Transfer,2024,3,10,4/3/2024,24-Mar,Customer_213,Yes,1,0,,,,
T0065,3/5/2024,Customer_208,Customer_208,Product B,Household,South,390.3,38.35,63.94,Bank Transfer,2024,3,10,5/3/2024,24-Mar,Customer_208,Yes,1,0,,,,
T0066,3/6/2024,Customer_237,Customer_237,Product D,Cosmetics,West,256.34,2.91,75.58,Credit Card,2024,3,10,6/3/2024,24-Mar,Customer_237,Yes,1,0,,,,
T0067,3/7/2024,Customer_53,Repeated,Product D,Household,South,180.16,42.02,38.38,Credit Card,2024,3,10,11/2/2024,24-Mar,Repeated,Yes,1,0,,,,
T0068,3/8/2024,Customer_280,Customer_280,Product B,Cosmetics,South,455.04,31.36,45.38,Cash,2024,3,10,8/3/2024,24-Mar,Customer_280,Yes,1,0,,,,
T0069,3/9/2024,Customer_217,Customer_217,Product C,Cosmetics,East,102.26,28.61,31.32,Mobile Payment,2024,3,10,9/3/2024,24-Mar,Customer_217,Yes,1,0,,,,
T0070,3/10/2024,Customer_252,Repeated,Product D,Groceries,East,480.16,31.61,18.73,Mobile Payment,2024,3,11,1/3/2024,24-Mar,Repeated,Yes,1,0,,,,
T0071,3/11/2024,Customer_188,Repeated,Product D,Cosmetics,West,191.29,43.36,26.11,Cash,2024,3,11,26/01/2024,24-Mar,Repeated,Yes,1,0,,,,
T0072,3/12/2024,Customer_41,Customer_41,Product D,Electronics,North,449.78,29.76,81.78,Bank Transfer,2024,3,11,12/3/2024,24-Mar,Customer_41,Yes,1,0,,,,
T0073,3/13/2024,Customer_157,Customer_157,Product A,Cosmetics,East,321.32,29.47,70.98,Cash,2024,3,11,13/03/2024,24-Mar,Customer_157,Yes,1,0,,,,
T0074,3/14/2024,Customer_15,Customer_15,Product B,Groceries,North,422.02,49.54,59.22,Cash,2024,3,11,14/03/2024,24-Mar,Customer_15,Yes,1,0,,,,
T0075,3/15/2024,Customer_65,Customer_65,Product A,Cosmetics,South,492.81,38.08,52.76,Bank Transfer,2024,3,11,15/03/2024,24-Mar,Customer_65,Yes,1,0,,,,
T0076,3/16/2024,Customer_9,Customer_9,Product B,Electronics,East,179.78,22.67,93.02,Mobile Payment,2024,3,11,16/03/2024,24-Mar,Customer_9,Yes,1,0,,,,
T0077,3/17/2024,Customer_129,Customer_129,Product C,Electronics,West,482.51,35.66,16.55,Cash,2024,3,12,17/03/2024,24-Mar,Customer_129,Yes,1,0,,,,
T0078,3/18/2024,Customer_136,Customer_136,Product C,Electronics,West,225.27,20.07,35.25,Mobile Payment,2024,3,12,18/03/2024,24-Mar,Customer_136,Yes,1,0,,,,
T0079,3/19/2024,Customer_63,Customer_63,Product D,Groceries,West,223.48,12.21,41.49,Cash,2024,3,12,19/03/2024,24-Mar,Customer_63,Yes,1,0,,,,
T0080,3/20/2024,Customer_139,Customer_139,Product B,Groceries,East,203.17,30.25,80.42,Bank Transfer,2024,3,12,20/03/2024,24-Mar,Customer_139,Yes,1,0,,,,
T0081,3/21/2024,Customer_81,Repeated,Product C,Household,North,293.63,46.48,99.33,Bank Transfer,2024,3,12,16/02/2024,24-Mar,Repeated,Yes,1,0,,,,
T0082,3/22/2024,Customer_163,Customer_163,Product B,Groceries,South,119.37,46.53,31.66,Credit Card,2024,3,12,22/03/2024,24-Mar,Customer_163,Yes,1,0,,,,
T0083,3/23/2024,Customer_289,Customer_289,Product C,Electronics,North,299.17,17.75,88.69,Bank Transfer,2024,3,12,23/03/2024,24-Mar,Customer_289,Yes,1,0,,,,
T0084,3/24/2024,Customer_261,Customer_261,Product A,Electronics,North,293.77,26.86,84.76,Credit Card,2024,3,13,24/03/2024,24-Mar,Customer_261,Yes,1,0,,,,
T0085,3/25/2024,Customer_231,Customer_231,Product C,Groceries,South,392.86,11.37,30.22,Cash,2024,3,13,25/03/2024,24-Mar,Customer_231,Yes,1,0,,,,
T0086,3/26/2024,Customer_41,Repeated,Product A,Cosmetics,South,425.14,49.79,45.94,Mobile Payment,2024,3,13,12/3/2024,24-Mar,Repeated,Yes,1,0,,,,
T0087,3/27/2024,Customer_28,Customer_28,Product C,Groceries,East,248.2,49.07,46.87,Bank Transfer,2024,3,13,27/03/2024,24-Mar,Customer_28,Yes,1,0,,,,
T0088,3/28/2024,Customer_135,Repeated,Product D,Groceries,East,186.05,32.83,98.04,Bank Transfer,2024,3,13,3/2/2024,24-Mar,Repeated,Yes,1,0,,,,
T0089,3/29/2024,Customer_201,Customer_201,Product A,Electronics,East,166.7,40.42,26.28,Bank Transfer,2024,3,13,29/03/2024,24-Mar,Customer_201,Yes,1,0,,,,
T0090,3/30/2024,Customer_268,Customer_268,Product C,Household,East,137.58,36.04,81.92,Cash,2024,3,13,30/03/2024,24-Mar,Customer_268,Yes,1,0,,,,
T0091,3/31/2024,Customer_33,Customer_33,Product D,Electronics,East,75.94,30.06,40.08,Credit Card,2024,3,14,31/03/2024,24-Mar,Customer_33,Yes,1,0,,,,
T0092,4/1/2024,Customer_48,Customer_48,Product A,Household,South,204.1,3.61,75.78,Cash,2024,4,14,1/4/2024,24-Apr,Customer_48,Yes,1,0,,,,
T0093,4/2/2024,Customer_62,Customer_62,Product D,Electronics,North,171.61,23.28,47.8,Mobile Payment,2024,4,14,2/4/2024,24-Apr,Customer_62,Yes,1,0,,,,
T0094,4/3/2024,Customer_216,Customer_216,Product B,Groceries,East,484.89,34.06,62.05,Cash,2024,4,14,3/4/2024,24-Apr,Customer_216,Yes,1,0,,,,
T0095,4/4/2024,Customer_293,Customer_293,Product B,Electronics,East,300.97,34.2,84.94,Mobile Payment,2024,4,14,4/4/2024,24-Apr,Customer_293,Yes,1,0,,,,
T0096,4/5/2024,Customer_99,Customer_99,Product A,Electronics,North,206.27,19.28,82.37,Bank Transfer,2024,4,14,5/4/2024,24-Apr,Customer_99,Yes,1,0,,,,
T0097,4/6/2024,Customer_172,Customer_172,Product C,Electronics,East,311.21,47.14,87.98,Mobile Payment,2024,4,14,6/4/2024,24-Apr,Customer_172,Yes,1,0,,,,
T0098,4/7/2024,Customer_214,Customer_214,Product A,Groceries,North,112.64,9.2,15.37,Mobile Payment,2024,4,15,7/4/2024,24-Apr,Customer_214,Yes,1,0,,,,
T0099,4/8/2024,Customer_35,Repeated,Product D,Groceries,North,249.82,25.52,72.28,Credit Card,2024,4,15,14/02/2024,24-Apr,Repeated,Yes,1,0,,,,
T0100,4/9/2024,Customer_227,Customer_227,Product C,Groceries,South,331.81,34.85,22.6,Mobile Payment,2024,4,15,9/4/2024,24-Apr,Customer_227,Yes,1,0,,,,
T0101,4/10/2024,Customer_101,Customer_101,Product B,Groceries,West,270,35.16,47.42,Mobile Payment,2024,4,15,10/4/2024,24-Apr,Customer_101,Yes,1,0,,,,
T0102,4/11/2024,Customer_131,Repeated,Product C,Household,South,230.8,32.78,59.37,Cash,2024,4,15,13/01/2024,24-Apr,Repeated,Yes,1,0,,,,
T0103,4/12/2024,Customer_257,Customer_257,Product B,Household,West,497.23,14.49,46.25,Bank Transfer,2024,4,15,12/4/2024,24-Apr,Customer_257,Yes,1,0,,,,
T0104,4/13/2024,Customer_5,Customer_5,Product C,Cosmetics,West,446.14,8.65,56.77,Cash,2024,4,15,13/04/2024,24-Apr,Customer_5,Yes,1,0,,,,
T0105,4/14/2024,Customer_218,Repeated,Product C,Groceries,West,330.53,32.16,99.69,Cash,2024,4,16,23/02/2024,24-Apr,Repeated,Yes,1,0,,,,
T0106,4/15/2024,Customer_255,Customer_255,Product C,Household,East,306.22,30.37,22.17,Bank Transfer,2024,4,16,15/04/2024,24-Apr,Customer_255,Yes,1,0,,,,
T0107,4/16/2024,Customer_283,Customer_283,Product D,Electronics,South,329.3,9.79,70.79,Bank Transfer,2024,4,16,16/04/2024,24-Apr,Customer_283,Yes,1,0,,,,
T0108,4/17/2024,Customer_207,Customer_207,Product D,Groceries,West,140.59,35.55,45.64,Mobile Payment,2024,4,16,17/04/2024,24-Apr,Customer_207,Yes,1,0,,,,
T0109,4/18/2024,Customer_15,Repeated,Product A,Cosmetics,North,227.81,23.3,21.97,Mobile Payment,2024,4,16,14/03/2024,24-Apr,Repeated,Yes,1,0,,,,
T0110,4/19/2024,Customer_42,Customer_42,Product A,Cosmetics,East,67.76,33.72,24.29,Credit Card,2024,4,16,19/04/2024,24-Apr,Customer_42,Yes,1,0,,,,
T0111,4/20/2024,Customer_179,Customer_179,Product B,Cosmetics,South,264,42.03,95.43,Cash,2024,4,16,20/04/2024,24-Apr,Customer_179,Yes,1,0,,,,
T0112,4/21/2024,Customer_63,Repeated,Product D,Electronics,West,294.36,9.32,89.16,Bank Transfer,2024,4,17,19/03/2024,24-Apr,Repeated,Yes,1,0,,,,
T0113,4/22/2024,Customer_231,Repeated,Product B,Household,North,152.49,1.94,91.63,Mobile Payment,2024,4,17,25/03/2024,24-Apr,Repeated,Yes,1,0,,,,
T0114,4/23/2024,Customer_241,Customer_241,Product A,Electronics,South,483.81,39.18,99.24,Bank Transfer,2024,4,17,23/04/2024,24-Apr,Customer_241,No,0,1,,,,
T0115,4/24/2024,Customer_52,Customer_52,Product B,Groceries,South,459.25,30.88,28.75,Mobile Payment,2024,4,17,24/04/2024,24-Apr,Customer_52,Yes,1,0,,,,
T0116,4/25/2024,Customer_96,Customer_96,Product A,Cosmetics,East,374.96,35.28,41.99,Credit Card,2024,4,17,25/04/2024,24-Apr,Customer_96,Yes,1,0,,,,
T0117,4/26/2024,Customer_222,Customer_222,Product D,Electronics,South,290.02,42.07,70.23,Credit Card,2024,4,17,26/04/2024,24-Apr,Customer_222,Yes,1,0,,,,
T0118,4/27/2024,Customer_231,Repeated,Product C,Electronics,East,441.49,40.34,53.54,Bank Transfer,2024,4,17,25/03/2024,24-Apr,Repeated,Yes,1,0,,,,
T0119,4/28/2024,Customer_237,Repeated,Product D,Household,West,108.79,48.09,47.66,Credit Card,2024,4,18,6/3/2024,24-Apr,Repeated,Yes,1,0,,,,
T0120,4/29/2024,Customer_143,Customer_143,Product B,Household,East,405.73,27.26,42.2,Bank Transfer,2024,4,18,29/04/2024,24-Apr,Customer_143,Yes,1,0,,,,
T0121,4/30/2024,Customer_171,Customer_171,Product B,Cosmetics,North,106.17,24.94,63.44,Mobile Payment,2024,4,18,30/04/2024,24-Apr,Customer_171,Yes,1,0,,,,
T0122,5/1/2024,Customer_29,Customer_29,Product D,Electronics,East,407.39,20.69,61.8,Cash,2024,5,18,1/5/2024,24-May,Customer_29,Yes,1,0,,,,
T0123,5/2/2024,Customer_36,Customer_36,Product D,Electronics,North,174.1,8.53,24.53,Credit Card,2024,5,18,2/5/2024,24-May,Customer_36,Yes,1,0,,,,
T0124,5/3/2024,Customer_13,Customer_13,Product A,Household,East,444.69,29.06,52.46,Mobile Payment,2024,5,18,3/5/2024,24-May,Customer_13,Yes,1,0,,,,
T0125,5/4/2024,Customer_160,Customer_160,Product B,Electronics,South,474.82,14.57,59.81,Cash,2024,5,18,4/5/2024,24-May,Customer_160,Yes,1,0,,,,
T0126,5/5/2024,Customer_187,Customer_187,Product B,Electronics,West,116.96,46.14,61.33,Cash,2024,5,19,5/5/2024,24-May,Customer_187,Yes,1,0,,,,
T0127,5/6/2024,Customer_243,Customer_243,Product D,Electronics,North,258.2,29.58,28.91,Cash,2024,5,19,6/5/2024,24-May,Customer_243,Yes,1,0,,,,
T0128,5/7/2024,Customer_86,Customer_86,Product C,Household,East,491.44,30.05,76.8,Mobile Payment,2024,5,19,7/5/2024,24-May,Customer_86,Yes,1,0,,,,
T0129,5/8/2024,Customer_284,Customer_284,Product B,Cosmetics,East,267.53,18.39,12.27,Mobile Payment,2024,5,19,8/5/2024,24-May,Customer_284,Yes,1,0,,,,
T0130,5/9/2024,Customer_66,Customer_66,Product C,Groceries,East,438.6,3.55,41.93,Bank Transfer,2024,5,19,9/5/2024,24-May,Customer_66,Yes,1,0,,,,
T0131,5/10/2024,Customer_170,Repeated,Product D,Cosmetics,South,314.93,2.56,80.22,Cash,2024,5,19,25/01/2024,24-May,Repeated,Yes,1,0,,,,
T0132,5/11/2024,Customer_45,Customer_45,Product D,Groceries,South,218.9,21.74,60.75,Cash,2024,5,19,11/5/2024,24-May,Customer_45,No,0,1,,,,
T0133,5/12/2024,Customer_62,Repeated,Product A,Electronics,North,178.6,5.14,33.5,Cash,2024,5,20,2/4/2024,24-May,Repeated,Yes,1,0,,,,
T0134,5/13/2024,Customer_134,Customer_134,Product B,Cosmetics,North,141.45,30.74,72.55,Bank Transfer,2024,5,20,13/05/2024,24-May,Customer_134,Yes,1,0,,,,
T0135,5/14/2024,Customer_284,Repeated,Product C,Groceries,South,392.81,44.17,61.07,Cash,2024,5,20,8/5/2024,24-May,Repeated,Yes,1,0,,,,
T0136,5/15/2024,Customer_28,Repeated,Product A,Household,North,223.94,44.26,81.66,Mobile Payment,2024,5,20,27/03/2024,24-May,Repeated,Yes,1,0,,,,
T0137,5/16/2024,Customer_108,Customer_108,Product B,Household,West,280.07,33.29,76.15,Cash,2024,5,20,16/05/2024,24-May,Customer_108,Yes,1,0,,,,
T0138,5/17/2024,Customer_44,Repeated,Product A,Cosmetics,West,271.55,11.35,64.91,Credit Card,2024,5,20,24/02/2024,24-May,Repeated,Yes,1,0,,,,
T0139,5/18/2024,Customer_286,Customer_286,Product D,Cosmetics,South,309.78,43.29,53.94,Mobile Payment,2024,5,20,18/05/2024,24-May,Customer_286,Yes,1,0,,,,
T0140,5/19/2024,Customer_128,Customer_128,Product B,Electronics,North,439.51,44.42,21.99,Bank Transfer,2024,5,21,19/05/2024,24-May,Customer_128,Yes,1,0,,,,
T0141,5/20/2024,Customer_231,Repeated,Product A,Cosmetics,East,491.33,10.64,33.52,Cash,2024,5,21,25/03/2024,24-May,Repeated,Yes,1,0,,,,
T0142,5/21/2024,Customer_190,Repeated,Product A,Electronics,West,233.41,37.13,47.72,Credit Card,2024,5,21,28/01/2024,24-May,Repeated,Yes,1,0,,,,
T0143,5/22/2024,Customer_225,Customer_225,Product C,Electronics,South,422.38,15.04,63.94,Bank Transfer,2024,5,21,22/05/2024,24-May,Customer_225,Yes,1,0,,,,
T0144,5/23/2024,Customer_283,Repeated,Product A,Household,North,394.04,40.33,56.23,Bank Transfer,2024,5,21,16/04/2024,24-May,Repeated,Yes,1,0,,,,
T0145,5/24/2024,Customer_121,Customer_121,Product B,Household,South,308.09,49.86,35.94,Mobile Payment,2024,5,21,24/05/2024,24-May,Customer_121,Yes,1,0,,,,
T0146,5/25/2024,Customer_116,Customer_116,Product B,Groceries,East,480.22,2.47,10.58,Bank Transfer,2024,5,21,25/05/2024,24-May,Customer_116,Yes,1,0,,,,
T0147,5/26/2024,Customer_233,Customer_233,Product C,Household,West,140.21,44.97,54.66,Bank Transfer,2024,5,22,26/05/2024,24-May,Customer_233,Yes,1,0,,,,
T0148,5/27/2024,Customer_259,Customer_259,Product B,Household,South,99.17,31.51,35.71,Bank Transfer,2024,5,22,27/05/2024,24-May,Customer_259,Yes,1,0,,,,
T0149,5/28/2024,Customer_198,Customer_198,Product D,Cosmetics,South,434.28,48.7,76.11,Bank Transfer,2024,5,22,28/05/2024,24-May,Customer_198,Yes,1,0,,,,
T0150,5/29/2024,Customer_137,Customer_137,Product B,Household,South,247.62,23.79,12.16,Cash,2024,5,22,29/05/2024,24-May,Customer_137,Yes,1,0,,,,
T0151,5/30/2024,Customer_165,Customer_165,Product B,Groceries,East,431.14,42.52,62.63,Cash,2024,5,22,30/05/2024,24-May,Customer_165,Yes,1,0,,,,
T0152,5/31/2024,Customer_225,Repeated,Product A,Cosmetics,South,451.89,4.06,94.73,Cash,2024,5,22,22/05/2024,24-May,Repeated,Yes,1,0,,,,
